BBL,BldgClass,LotArea,BldgArea,HistDist,Landmark,OwnerName
1000530002,H2,5165,176582,,,GOLDEN SEAHORSE LLC
1000530003,K4,2287,8500,,ST GEORGE'S SYRIAN CATHOLIC CHURCH,CHAPEL MORAN INC
1000530004,P9,4613,23030,,,FRED RICH LLC
1000530006,C7,2361,9565,,,109 WASHINGTON STREET
1000530012,G6,11255,0,,,FRED RICH LLC
1000530033,D8,6085,57941,,,110 GREENWICH I LLC A
1000530035,O1,2488,15744,,,CYP ENTERPRISE LLC
1000530036,C7,2796,10950,,,106 GREENWICH LLC
1000530037,H3,4664,21489,,,102 GREENWICH REALTY
1000530038,V1,4537,0,,,SUN MOON NY LLC
1000530039,K9,1820,4040,,,AUGUSTUS H. LAWRENCE
1000530040,K4,1784,4878,,,UNION & COURT REALTYC
1000530041,S9,1709,5382,,94 GREENWICH STREET HOUSE,"BORKOW, SUSAN B"
1000537501,RM,8486,67009,,,
1000537502,RM,14217,180470,,,123 WASHINGTON LLC
1000540001,V1,66222,0,,,LOWER MANHATTAN DEVE
1000550014,D8,22437,258071,,,J HILL ASSOCIATES
1000550016,H2,20161,420322,,,"HMC FINANCIAL CENTER,"
1000557501,RC,30080,476477,,,40 RECTOR OWNER LLC
1000560001,H2,10927,8693,,,130 OWNERS GROUP
1000560004,D5,16980,357000,,WEST STREET BUILDING,B.C.R.E. - 90 WEST ST
1000560015,Z9,16032,0,,,LOWER MANHATTAN DEVEL
1000560020,V1,1215,0,,,HELLENIC ORTHODOX CH
1000560021,Z9,2747,0,,,LOWER MANHATTAN DEVEL
1000580001,O4,833945,8837499,,,THE PORT AUTHORITY OF
1000627501,RB,95348,1690747,,,ONE LIBERTY PLAZA CON
1000630001,K4,6086,20750,,,SARGENTS LLC
1000630003,O3,25838,647875,,,MAYORE ESTATES LLC.
1000630006,K3,12358,49109,,,BLUE MILLENNIUM REALT
1000630012,O2,4723,66686,,,"SAKELE BROTHERS,"
1000630013,,0,6565,,,
1000630015,K2,2510,7500,,,"SAKELE BROTHERS, LLC"
