Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BOTH,HistDist Only,Landmark Only,Neither,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,Shape_Leng,Shape_Area
MN,1917,53,110,226,1001,5,9,10030,E059,32,11,1200,1,10,3B,150 WEST 133 STREET,R7-2,,,,,,,,,,N,M1,8,0,,IND AFR METH EPIS CH,1249,1944,1944,0,0,0,0,0,0,1944,2,1,3,0,1,12.5,99.92,12,52,,2,N,5,1,22500,61650,0,0,1910,0,0,,,0,0,0,1,1.56,3.44,0,6.5,1,1019170053,0,226,999829,235614,6a,,111S007,10704,,1019170053,01/05/1994,1,,,18v2,253.0962872,2524.139255
MN,480,40,102,41,6003,2,1,10013,E055,5,15,6800,1,2,1A,378 BROOME STREET,C6-2G,C6-1,,,,,LI,,,,Y,M1,8,0,,USD 378 BROOME LLC,2635,6107,6107,0,0,0,0,0,0,6107,2,1,3,0,1,25.75,106.5,26,107,,3,Y,5,2,281250,593100,0,0,1920,1986,0,,,0,0,0,1,2.32,6.02,6,6.5,1,1004800040,0,41,985274,201793,12c,,101N074,10206,,0,,1,,,18v2,262.6353103,2667.559405
MN,1666,47,111,188,3000,4,8,10035,L026,25,12,2100,1,11,2B,2135 3 AVENUE,C4-6,,,,,,EHC,,,,N,M1,8,0,X,CHURCH OF GOD OF THIR,2871,10209,10209,0,0,0,0,0,0,10209,2,1,5,0,1,38.25,79.75,38,73,,3,N,5,2,42300,162000,42300,162000,1900,1987,0,,,0,0,0,1,3.56,10,3.4,10,1,1016660047,0,188,1001028,230125,6b,,108N075,10604,,0,,1,,,18v2,241.9394136,3245.10791
MN,1200,23,107,173,7000,3,6,10024,E074,24,16,3220,1,7,3A,15 WEST 86 STREET,R10A,,,,,,,,,,N,M1,8,0,X,SOC FOR ADV OF JUDAIS,5034,11955,11955,0,0,0,0,0,0,11955,2,1,4,0,1,50,100.67,50,94,,3,N,5,2,1030500,2094300,1030500,2094300,1925,1960,0,Upper West Side / Central Park West Historic District,,0,1,0,0,2.37,10,0,10,1,1012000023,0,173,992551,225599,5d,,107S023,10408,,0,,1,,,18v2,304.6910005,4978.243887
MN,1917,107,110,226,1002,5,9,10027,E059,32,11,1200,1,10,3B,159 WEST 132 STREET,R7-2,,,,,,,,,,N,M1,8,0,X,NEW WAY BAPTIST CHCIN,1998,4244,4244,0,0,0,0,0,0,4244,2,1,3,0,1,20,99.92,20,93,E,3,N,5,2,27000,107100,27000,107100,1910,0,0,Central Harlem West -- 130-132nd Street Historic District,,0,1,0,0,2.12,3.44,0,6.5,1,1019170107,0,226,999676,235583,6a,,111S007,10704,,0,,1,,,18v2,244.1752221,2089.836535
MN,1891,40,107,191,1003,3,6,10025,E076,24,16,3110,1,7,5B,331 RIVERSIDE DRIVE,R8,,,,,,,,,,N,M1,8,0,X,NEW YORK BUDDHIST CHU,2500,2545,2545,0,0,0,0,0,0,2545,2,1,5,0,1,25,100,25,86,,3,N,5,2,123300,355500,123300,355500,1910,0,0,Riverside-West 105th Street Historic District,,0,1,0,0,1.02,6.02,0,6.5,1,1018910040,0,191,992504,231347,5d,,107S042,10703,,0,,1,,,18v2,256.5303017,2735.92242
MN,1891,41,107,191,1003,3,6,10025,E076,24,16,3110,1,7,5B,332 RIVERSIDE DRIVE,R8,,,,,,,,,,N,M1,8,0,X,N Y BUDDIST CHURCH,2300,2521,2521,0,0,0,0,0,0,2521,2,1,1,0,1,23,100,23,100,,3,N,5,2,119700,355500,119700,355500,1962,0,0,Riverside-West 105th Street Historic District,,0,1,0,0,1.1,6.02,0,6.5,1,1018910041,0,191,992516,231368,5d,,107S042,10703,,0,,1,,,18v2,243.4448287,2097.155645
MN,1624,10,111,158.02,1001,2,5,10128,E053,23,12,2820,1,11,1A,135 EAST 96 STREET,R10A,,,,,,,,,,N,M3,8,0,X,RC CH ST FRANCIS DE S,1386,6500,6500,0,0,0,0,0,0,6500,2,1,5,0,1,21,66,21,66,,3,N,5,2,141300,419400,141300,419400,1915,1980,0,,,0,0,0,1,4.69,10,0,10,1,1016240010,0,15802,997695,225764,6b,,108S045,10603,,0,,1,,,18v2,175.54249,1343.120027
MN,1624,11,111,158.02,1001,2,5,10128,E053,23,12,2820,1,11,1A,137 EAST 96 STREET,R10A,,,,C1-5,,,,,,N,M1,8,0,X,RC CH ST FRANCIS DE S,8706,8000,8000,0,0,0,0,0,0,8000,2,1,2,0,2,79,100.92,79,100,,3,Y,5,1,697500,1984050,697500,1984050,1915,0,0,,,0,0,0,1,0.92,10,0,10,1,1016240011,0,15802,997745,225760,6b,,108S045,10603,,0,,1,,,18v2,407.3364282,9021.713696
MN,2058,26,109,227,1003,6,7,10031,E080,30,17,720,1,9,3B,472 WEST 142 STREET,R6A,,,,C1-4,,,,,,N,M3,8,0,X,RC CH OUR LADY OF LOU,3197,4271,4271,0,0,0,0,0,0,4271,2,2,5,0,1,32,99.92,32,72,E,3,N,5,2,38700,153450,38700,153450,1926,1988,0,Hamilton Heights Historic District,,0,1,0,0,1.34,3,0,3,1,1020580026,0,227,998424,239113,6a,,111S038,10710,,0,,1,,,18v2,267.8693152,3245.430565
